SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,450 S Main St #1104,Seattle,WA,98104,435000,1,1,International District,555,NA,2021,19,784,542,Active,NA,NA,https://www.redfin.com/WA/Seattle/450-S-Main-St-98104/unit-1104/home/176358980,NWMLS as Distributed by MLS Grid,2307940,N,Y,47.6002447,-122.3280012
MLS Listing,NA,Condo/Co-op,100 1st Ave S #8,Seattle,WA,98104,610000,1,1,Pioneer Square,708,NA,1985,20,862,534,Active,NA,NA,https://www.redfin.com/WA/Seattle/100-1st-Ave-S-98104/unit-8/home/27031,NWMLS as Distributed by MLS Grid,2307781,N,Y,47.6015189,-122.3338617
MLS Listing,NA,Condo/Co-op,103 Bellevue Ave E #202,Seattle,WA,98102,350000,1,1,Capitol Hill,591,NA,2004,21,592,424,Active,NA,NA,https://www.redfin.com/WA/Seattle/103-Bellevue-Ave-E-98102/unit-202/home/2071509,NWMLS as Distributed by MLS Grid,2307519,N,Y,47.6187413,-122.3271159
MLS Listing,NA,Condo/Co-op,2132 5th Ave #306,Seattle,WA,98121,320000,1,1,Seattle,379,NA,1922,21,844,537,Active,NA,NA,https://www.redfin.com/WA/Seattle/2132-5th-Ave-98121/unit-306/home/12091598,NWMLS as Distributed by MLS Grid,2307260,N,Y,47.6153641,-122.3413629
MLS Listing,NA,Condo/Co-op,2250 NW 58th St #406,Seattle,WA,98107,445549,1,1,Ballard,789,NA,1989,22,565,690,Active,NA,NA,https://www.redfin.com/WA/Seattle/2250-NW-58th-St-98107/unit-406/home/27970,NWMLS as Distributed by MLS Grid,2307118,N,Y,47.6710398,-122.3869043
MLS Listing,NA,Condo/Co-op,5450 Leary Ave NW #247,Seattle,WA,98107,495000,1,1,Ballard,793,27583,2007,22,624,567,Active,NA,NA,https://www.redfin.com/WA/Seattle/5450-Leary-Ave-NW-98107/unit-247/home/17382586,NWMLS as Distributed by MLS Grid,2307276,N,Y,47.6679047,-122.3832003
MLS Listing,NA,Condo/Co-op,1420 Terry Ave #1903,Seattle,WA,98101,519550,1,1,First Hill,750,15382,2002,22,693,908,Active,NA,NA,https://www.redfin.com/WA/Seattle/1420-Terry-Ave-98101/unit-1903/home/2174,NWMLS as Distributed by MLS Grid,2307223,N,Y,47.6126533,-122.3293157
MLS Listing,NA,Condo/Co-op,1321 Seneca St #802,Seattle,WA,98101,539950,1,1,First Hill,691,NA,2016,22,781,711,Active,NA,NA,https://www.redfin.com/WA/Seattle/1321-Seneca-St-98101/unit-802/home/113995750,NWMLS as Distributed by MLS Grid,2274559,N,Y,47.6118236,-122.3233045
MLS Listing,NA,Condo/Co-op,909 5th Ave #2103,Seattle,WA,98104,715000,1,1.5,Downtown,979,9525,2008,23,730,1219,Active,NA,NA,https://www.redfin.com/WA/Seattle/909-5th-Ave-98164/unit-2103/home/17381958,NWMLS as Distributed by MLS Grid,2306444,N,Y,47.6062753,-122.332007
MLS Listing,NA,Single Family Residential,2316 NE 85th St,Seattle,WA,98115,840000,1,1,Wedgwood,3420,12760,1914,24,246,NA,Active,NA,NA,https://www.redfin.com/WA/Seattle/2316-NE-85th-St-98115/home/145235902,NWMLS as Distributed by MLS Grid,2305488,N,Y,47.6904526,-122.3033986
MLS Listing,NA,Condo/Co-op,1101 17th #205,Seattle,WA,98122,315000,1,1,Capitol Hill,450,NA,1928,24,700,573,Active,NA,NA,https://www.redfin.com/WA/Seattle/1101-17th-Ave-98122/unit-205/home/2146,NWMLS as Distributed by MLS Grid,2306275,N,Y,47.6117097,-122.3105801
MLS Listing,NA,Condo/Co-op,121 Stewart St #1803,Seattle,WA,98101,750000,1,1,Downtown,841,NA,2021,27,892,903,Active,NA,NA,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-1803/home/175699688,NWMLS as Distributed by MLS Grid,2304233,N,Y,47.6106852,-122.3406126
MLS Listing,NA,Condo/Co-op,500 Aloha St #303,Seattle,WA,98109,379000,1,1,Queen Anne,593,16283,1992,28,639,468,Active,NA,NA,https://www.redfin.com/WA/Seattle/500-Aloha-St-98109/unit-303/home/39275,NWMLS as Distributed by MLS Grid,2298858,N,Y,47.627407,-122.3470247
MLS Listing,NA,Single Family Residential,12007 56th Pl S,Seattle,WA,98178,279990,1,1,Seattle,610,7994,1937,28,459,NA,Active,NA,NA,https://www.redfin.com/WA/Seattle/12007-56th-Pl-S-98178/home/195934,NWMLS as Distributed by MLS Grid,2305742,N,Y,47.4953288,-122.2670589
